Pair,p-value
EQIX-LH,1.5881116060349962e-05
MTD-TMO,1.590173394689019e-05
TPL-ETN,1.5948534037837034e-05
EPAM-TECH,1.6084541909658474e-05
LNT-HON,1.636162938281824e-05
CTAS-TPL,1.64166058013229e-05
AFL-RJF,1.7189294827485106e-05
EFX-DPZ,1.7350589316865528e-05
COST-TPL,1.82499094215307e-05
MLM-ERIE,1.849954299851508e-05
PWR-JBL,1.875132590434981e-05
AJG-KLAC,1.940870919484103e-05
CCI-ES,1.9549936124629683e-05
ABBV-RJF,1.974885913514353e-05
CTAS-PGR,2.077540220092866e-05
EQIX-TYL,2.103542815646762e-05
DECK-BLDR,2.1238175991250404e-05
WSM-PGR,2.1343012225566475e-05
ROL-SYK,2.1418291192794555e-05
LII-ERIE,2.163631969906672e-05
MO-FOX,2.214639023596296e-05
AJG-AMP,2.221652919525739e-05
STE-ACN,2.234116583147138e-05
MCHP-WST,2.2418989597105027e-05
DXCM-TER,2.2536440376093873e-05
PH-TPL,2.2578088373735274e-05
EW-AWK,2.273853639259069e-05
PSA-HSIC,2.2739067142570184e-05
ORLY-APH,2.314010491052444e-05
DXCM-POOL,2.331764908650686e-05
COO-IEX,2.3748728394619157e-05
WAT-HON,2.428895098284805e-05
MSCI-EXPD,2.46288723008913e-05
ERIE-TJX,2.469133301984669e-05
HUBB-PGR,2.5053927168200616e-05
ETN-KLAC,2.507538525347364e-05
TT-TPL,2.5115086011467574e-05
MAR-ROL,2.5502914313675465e-05
EQIX-ROST,2.6346420596242284e-05
CSGP-TDY,2.7216749661069243e-05
EFX-LOW,2.7421178671092384e-05
DPZ-TXN,2.7657992167480518e-05
ORCL-TPL,2.7772059652503333e-05
WMT-ORCL,2.861316019575318e-05
WAT-FDS,2.9076731156440647e-05
BRK.B-AMP,3.0005822489828613e-05
CTAS-KLAC,3.0472138659423782e-05
KMB-HSIC,3.097681006347431e-05
HD-EQIX,3.1154212884070154e-05
ICE-MU,3.118462355036081e-05
TPL-LRCX,3.180098317955423e-05
DHI-MPWR,3.230790853195563e-05
WTW-BR,3.25278905578116e-05
PAYX-WTW,3.2923693826427806e-05
PEG-LYV,3.3095312637499033e-05
ADSK-DPZ,3.34117520269423e-05
MNST-ROK,3.357279827415513e-05
EQIX-MTD,3.3686848317367953e-05
WTW-ROL,3.3803320190388365e-05
ORCL-APH,3.488348259050414e-05
GOOGL-NVR,3.497715062324201e-05
MSFT-TPL,3.529830393874505e-05
EW-TER,3.576530290392645e-05
HD-RMD,3.6192882515102224e-05
GOOGL-WM,3.630683037615898e-05
CDNS-MPWR,3.7094931865464385e-05
EQIX-LNT,3.7378106600859244e-05
ROST-AMGN,3.756765715294185e-05
CPRT-NVR,3.760139907559072e-05
EFX-WAT,3.779756394110189e-05
PAYX-ADI,3.849189260524206e-05
WAT-UNP,3.9839245487527126e-05
CHTR-KMX,4.051686776839179e-05
SMCI-PHM,4.065219810010117e-05
ORCL-PGR,4.162808690041617e-05
BRO-LRCX,4.238597118918596e-05
BRK.B-NVR,4.295908353428083e-05
AMZN-SPGI,4.33009512538358e-05
CMG-MPWR,4.366063843502673e-05
WST-MOH,4.4121938091487445e-05
AAPL-ERIE,4.486713877317824e-05
PGR-SNPS,4.5313135272029294e-05
AJG-RJF,4.5866314102655084e-05
TDY-STE,4.629236700131625e-05
LMT-EQIX,4.7762684557099755e-05
TEL-LH,4.883722071241408e-05
HD-STE,4.888613589986526e-05
GPN-MKTX,4.905724437341049e-05
PGR-LRCX,4.925722771592067e-05
EMR-FAST,4.926001995912006e-05
CPRT-AMAT,4.9761028866078405e-05
CDNS-TPL,5.0234032844149215e-05
COST-PGR,5.179620764591088e-05
APD-NEE,5.264359285252382e-05
BRO-NVR,5.269765989123389e-05
CMG-ERIE,5.2735133425028766e-05
MCHP-TMO,5.283691692064549e-05
URI-ETN,5.437112049678282e-05
AMZN-ROL,5.442271264681304e-05
PNC-AEP,5.47015195391949e-05
CSX-LHX,5.5101205630702624e-05
EQIX-DPZ,5.564032736061375e-05
SO-EMR,5.725012713212799e-05
CTAS-URI,5.7597056598317366e-05
STE-LOW,5.7908182107669725e-05
MAR-NVR,5.809016411330925e-05
BR-MU,5.81331628155082e-05
HCA-ADI,5.8755783768490805e-05
COST-URI,5.901477878756448e-05
ERIE-ISRG,6.010997641342571e-05
GOOGL-SHW,6.122522554052854e-05
EFX-TYL,6.139573393723372e-05
MCHP-MOH,6.149508877413436e-05
MAR-ALL,6.149869387000395e-05
MPWR-TPL,6.173884939232989e-05
MA-ROL,6.303062561548322e-05
AFL-HUBB,6.36473306467762e-05
V-VRSK,6.372271948808974e-05
NSC-WAT,6.388077221976626e-05
EQIX-CSX,6.442861406633953e-05
MCHP-DHR,6.463650020450348e-05
IEX-NEE,6.50477360226079e-05
EFX-AMGN,6.519013303006837e-05
AJG-LRCX,6.541525269823192e-05
RJF-ROL,6.583078188534401e-05
AZO-HUBB,6.689577987747579e-05
AFL-MLM,6.736010059110945e-05
EQIX-IEX,6.762809658114956e-05
TPL-AMAT,6.797322351880064e-05
GOOGL-GOOG,6.852373723872997e-05
SOLV-ADP,6.894561352670786e-05
AAPL-CPRT,7.094611555378526e-05
WST-ADBE,7.120516154064251e-05
SMCI-BLDR,7.205300919787365e-05
CDNS-PGR,7.349341551290186e-05
SNA-CB,7.396101541510166e-05
NTAP-ISRG,7.521091637958248e-05
NXPI-EFX,7.547359739262838e-05
AMZN-WTW,7.618151269897255e-05
LHX-DPZ,7.751792087995675e-05
PKG-CB,7.75540113401356e-05
HD-CINF,7.829562811127275e-05
GOOGL-MMC,7.872276087731361e-05
NVR-VRTX,7.878326880317295e-05
V-ICE,7.95117397064896e-05
HUBB-VRTX,8.089799599635011e-05
AON-LOW,8.144763220053371e-05
ERIE-APH,8.151448862232914e-05
CSGP-STE,8.165427148516795e-05
DHI-AMAT,8.167172347357079e-05
NTAP-MU,8.215507976155956e-05
MTD-STE,8.230171964858576e-05
MCHP-A,8.233024831156487e-05
CINF-ADP,8.285993024435346e-05
ISRG-MU,8.289360276065722e-05
ROL-ADP,8.374710366868926e-05
WAT-NEE,8.442118275414783e-05
MMC-ADI,8.497088668171296e-05
LHX-NEE,8.532397075366422e-05
CTAS-HLT,8.869760310344881e-05
AMT-BALL,9.052146352395131e-05
ALL-VMC,9.14926015000067e-05
MTD-NDSN,9.323689318305165e-05
YUM-ROK,9.361619295202085e-05
SHW-EQIX,9.380753499371314e-05
HD-EFX,9.523478484614771e-05
TSLA-DE,9.877280743434819e-05
PAYX-SOLV,9.941393330694807e-05
USB-TSN,9.943519295058826e-05
ADSK-CSGP,9.945615125828804e-05
ODFL-MOH,9.958432600590568e-05
DXCM-TMO,0.00010090702637553349
DHI-PGR,0.00010132421437634137
MA-WTW,0.00010169803504547698
V-RF,0.00010395650063890249
ES-KMX,0.00010420626296016806
GOOGL-BRO,0.00010465529389027662
MCK-URI,0.00010536376923877126
SHW-RMD,0.00010577762529753605
MDLZ-CDW,0.00010599514452803338
AMZN-SHW,0.00010771774386031476
PNR-NWS,0.00010776937580787026
WM-WTW,0.00010790572206325687
MDLZ-AMGN,0.00010854296062788879
DGX-DPZ,0.00010962246735168058
SHW-EFX,0.00011050893746534374
EFX-AIZ,0.00011062672531389419
LHX-WAT,0.0001110367121306093
EQIX-LHX,0.00011137619023826856
ROK-GL,0.00011245510115177334
DHI-SNPS,0.00011246023465548397
PNC-WAT,0.00011256652553181879
ERIE-SYK,0.00011274284764348843
WTW-CINF,0.0001129347927195023
USB-IFF,0.00011306047894369833
EXR-WAT,0.00011322377980058403
RSG-TPL,0.00011326469234908639
USB-ESS,0.00011442513530427637
CI-EFX,0.00011471203564588286
AME-ROL,0.00011546501413934815
A-MTD,0.00011564771304150487
CDNS-CTAS,0.0001156806191875538
TPL-KKR,0.00011615931341452519
LNT-GL,0.0001164478348857772
ICE-BR,0.00011700005937565817
AAPL-LRCX,0.00011844015997429878
EFX-PKG,0.00011870719145158531
AJG-TPL,0.00011943397453943389
BRO-TPL,0.00011962028366503684
SBAC-MKC,0.00011975435223807124
SMCI-DECK,0.00012044761995457923
HCA-RJF,0.00012058082131417578
EQIX-ADSK,0.00012172527294255509
HD-AON,0.00012219655670167785
COR-HUBB,0.00012295578090540287
RJF-VRTX,0.00012310409661745004
ROL-NVR,0.0001237083036380608
PAYX-CINF,0.00012420680346982544
EQIX-XEL,0.00012423248361588283
