Pair,p-value
PG-ROP,0.003889045605088737
DPZ-GL,0.003889111597984215
WAT-TXN,0.003889290535515888
SO-WRB,0.003896207806259565
APD-DXCM,0.003902811320630532
TTD-DOV,0.0039041072228361714
MCO-BRO,0.0039045724639328715
AME-TSCO,0.0039051237951790315
TMUS-MS,0.003905895260424565
HUM-MKC,0.0039067583989191015
MLM-CB,0.003915416200989619
MSI-MU,0.003915837825562686
AIZ-ADP,0.003917892345098938
EQIX-DRI,0.00392072357397349
GD-EQIX,0.003924381753145456
NSC-ROP,0.003930505604056793
MKC-CLX,0.0039334236998567135
PG-EXPD,0.003938375975278573
D-BIIB,0.003940276042707559
MMC-HCA,0.003952167007985256
EXPD-AIZ,0.003956843619617772
ADSK-NSC,0.003957841293001729
DUK-HCA,0.003959806982885486
SHW-TTD,0.003960965337226608
EXPD-DPZ,0.003977363951247291
ROK-PKG,0.00398623857773356
JNJ-CHD,0.0039878167732127915
LYV-DGX,0.003991829359212151
CPRT-IT,0.003998314662394399
WTW-AMAT,0.0040028682056238276
EQIX-EBAY,0.004009793151276945
ROK-AIZ,0.0040115320112334395
ED-CINF,0.0040119320937227814
MSFT-CTAS,0.00401432681194427
PAYX-ADP,0.004016451238071246
COST-TDG,0.004021810025214967
MET-STLD,0.004022461499324433
SPGI-SYK,0.004022544228991859
AON-WTW,0.004023766890267597
CSX-NSC,0.00402745760797564
ED-NDSN,0.004032608659050677
DPZ-TER,0.0040332525856082045
GOOGL-AFL,0.004034173253005187
FAST-MPWR,0.004037522380653629
CSGP-NEE,0.004041048449269342
ZBH-CLX,0.004041773622353373
KMB-CTSH,0.004042827708642723
MNST-NXPI,0.004046222838503684
DUK-HLT,0.004046544951143567
TPL-COF,0.0040486404783864356
ALL-LII,0.004055546182992268
TSLA-DOV,0.004056352181513753
AME-VRTX,0.004057203716377991
RJF-STX,0.004066625345979702
ZBRA-ADBE,0.004067033392392454
ZBRA-RVTY,0.00407008021591317
ZBRA-RVTY,0.00407008021591317
DHI-ADI,0.004071750991039506
DTE-DPZ,0.004072981687653673
ALL-DHI,0.004073772099542955
ED-DLTR,0.004076125855094827
WRB-LRCX,0.004081198122228608
GOOGL-DE,0.0040866932978939185
AFL-LRCX,0.004091697689714733
ZTS-NDSN,0.004092618055040776
WRB-RVTY,0.004093552865129942
WRB-RVTY,0.004093552865129942
SBUX-ED,0.004099003484400303
GWW-KLAC,0.004105459196434833
NTRS-SCHW,0.004105827613410281
LH-BLK,0.004107098565619318
AON-FDS,0.004108223028787083
ITW-AIZ,0.004113389109899053
TGT-NKE,0.004117880658941017
FICO-KKR,0.004120062262557856
MLM-TJX,0.00412272692463651
WAB-WELL,0.0041247655727729175
BRO-KLAC,0.0041255629063335075
PTC-PGR,0.004132353368531409
ITW-HON,0.004135696422611583
PG-DXCM,0.004138931001261545
ERIE-LOW,0.004140754776769504
JPM-PGR,0.004144553070335519
HPE-L,0.0041490493136121225
DUK-JCI,0.004149704458057605
PG-CSX,0.004155516879706799
VLTO-NEE,0.0041560043174031416
AWK-RVTY,0.004165354840895682
AWK-RVTY,0.004165354840895682
MU-VRTX,0.004170335330799281
CINF-NVR,0.004172522148159868
JNJ-NOC,0.0041742813174855675
WM-ISRG,0.004176968095062796
DPZ-AMGN,0.004180395010573817
FDX-STZ,0.004195074974179085
PNR-DVA,0.004201837241177144
AMT-HON,0.004208481539667775
HLT-TRV,0.004212822738062523
CMS-DPZ,0.0042185503290090905
ADM-LKQ,0.004225657203431028
EXR-HON,0.004229221493257708
CDNS-HCA,0.004229270403753469
PH-KLAC,0.004237314621360192
MCHP-JBHT,0.004241606913218497
PEG-WTW,0.004242214998829749
AMGN-LOW,0.0042478759543282995
CEG-HIG,0.004250106374036135
IR-DECK,0.004250381288487956
PG-OTIS,0.00425134681543826
SBUX-SYY,0.0042514101618344406
EQIX-TMO,0.004254322884598414
ALL-NVR,0.004254627115950456
WEC-JKHY,0.0042594370914250355
RMD-TMO,0.0042615703536313726
MCHP-ODFL,0.004272857503917632
VRSN-SCHW,0.00427296463300214
NDSN-TMO,0.004276966293009381
VMC-TPL,0.00427902470728396
AON-MNST,0.004285453563307006
ABBV-PARA,0.004285532959203126
IQV-NDSN,0.004295530502550354
LMT-AEP,0.004298558429889183
ICE-TYL,0.004301361280602214
ZBRA-TECH,0.004305668207488703
CI-ROP,0.004312891546655314
PGR-PANW,0.004317170828301099
HAL-BEN,0.004320236288951989
CMI-ED,0.004321260406077686
AON-ITW,0.004322950802357873
ITW-CHD,0.00432523034560012
PAYX-AIZ,0.004329426583489218
DUK-MNST,0.004341438993764787
TTD-TYL,0.004341660983779252
REGN-EG,0.004350877278031014
CINF-LOW,0.0043532636951520995
UHS-ANET,0.004362487969380458
DUK-EMR,0.00436267793541319
BRK.B-ADP,0.004363652558803665
UPS-RVTY,0.004364493003812921
UPS-RVTY,0.004364493003812921
EXR-JBHT,0.004365891462836248
DRI-NVR,0.004373602940219382
DUK-CPAY,0.0043801117935286255
MTB-UDR,0.004380307143111944
MSI-AMAT,0.0043828199119910665
DXCM-NEE,0.004383098072790049
LHX-EFX,0.004383642107465811
SRE-YUM,0.004387757812128146
TGT-ZBRA,0.004389967700907681
BRO-ADI,0.004391268516735529
RMD-CINF,0.004394709389025704
USB-HSIC,0.004401361542440725
MA-PEG,0.004402339205292212
EPAM-CZR,0.0044110639950031335
ALL-LRCX,0.004412604613589929
COST-VRTX,0.004418652689756656
AMZN-NVR,0.0044195545506336255
EW-NDSN,0.004419669449800664
EFX-GL,0.004420847966453444
PEG-VRSK,0.004426049163129681
IT-STLD,0.00442709384923001
PNC-EXR,0.0044292353705501115
RMD-ADP,0.004438417730153998
PNR-NWSA,0.004443411277656598
MNST-WAT,0.004443470393618672
ELV-TER,0.004445343490276332
SRE-WEC,0.004452695994556141
ED-CB,0.004452745044636707
WEC-UNP,0.00445466639426568
TSN-MDT,0.004454832072510628
CPAY-AMGN,0.004458263178257267
CI-ULTA,0.004458983483313813
ES-MKC,0.004464795566991415
DXCM-ACN,0.0044667977579935375
BXP-PARA,0.004474065693785521
EQIX-DHR,0.004478845048232809
MAR-CINF,0.004481471952669661
ELV-JBHT,0.004481764263246483
BAC-AWK,0.004483395590532245
AAPL-DHI,0.004487221681864472
TYL-AIZ,0.004491975408794756
MLM-PGR,0.004492598587559104
KDP-KEYS,0.004494526492629193
USB-ES,0.004495645416461782
GM-TRMB,0.004499485862468758
CINF-PKG,0.0045019209504424005
DPZ-UNP,0.004502084861486462
ALL-BR,0.004503344368643178
APD-AEP,0.0045039234632242905
DLR-CMS,0.004508423118536519
STX-RVTY,0.00451094102313627
STX-RVTY,0.00451094102313627
TSLA-LOW,0.004511374801591669
GOOGL-EFX,0.004511385861305641
KEYS-STE,0.004512096289763865
GOOGL-PTC,0.004516624753773798
VTR-GEN,0.004517834791412678
APO-MSI,0.004521661545095103
MPWR-TSCO,0.004521700862689481
CDNS-LRCX,0.004531010961647623
HUBB-STLD,0.004542210156517616
APD-AMGN,0.0045427610705888275
GOOG-BRO,0.004543269202546736
DUK-SNA,0.004546346179503758
MAR-ADP,0.004554170596888412
PCAR-CB,0.004564013739751404
ED-RJF,0.004573262159519732
TDG-TPL,0.004574515659097019
ABBV-MMC,0.004576624561693245
GIS-DLTR,0.0045786524924064115
ED-EVRG,0.004586703728878472
TTD-QCOM,0.0045868556321460655
NXPI-AIZ,0.004587089337820113
BRK.B-TRV,0.004587754010295342
DHI-ISRG,0.004589049916786115
LULU-TER,0.0045904443615496756
TYL-WAT,0.004591159683183861
ACN-NEE,0.00459171651150426
DTE-LNT,0.004593571544529547
TPL-BLDR,0.004600178506521959
CHD-IEX,0.004601384561577006
CEG-BKNG,0.004601610079043777
ITW-TYL,0.0046068893155827035
LMT-MCHP,0.004608069443064974
WBA-PARA,0.004616504703351942
LHX-JKHY,0.004625298630179574
ROST-GL,0.004629537863616925
NSC-TDY,0.004634639049795668
EW-XEL,0.004641465851731641
ABBV-PANW,0.00464461221905201
HCA-OTIS,0.004651327823860671
CINF-SCHW,0.004667059494915723
BBY-MKTX,0.004670834792554316
TRV-STX,0.004671277256640516
KMX-EMN,0.004674141574660532
AZO-GWW,0.004677996641343995
GWW-PANW,0.004680816954981057
USB-PSA,0.00468180277439491
DVA-QCOM,0.0046837566352391944
TEL-EBAY,0.004685634758729644
MCHP-DPZ,0.004688377735687208
EXPD-MOH,0.0046894764963994725
IQV-DHR,0.004691496518566741
DLR-AEP,0.004692202734446394
AAPL-AON,0.0046939494853742115
TGT-GNRC,0.0046941722637136385
SYY-FDS,0.00469819824230152
ZTS-STE,0.0047044125812113246
RMD-NEE,0.004705892960202882
MSFT-GOOGL,0.004707592393327674
NSC-ROK,0.00471167253840893
OMC-GILD,0.0047117211392001075
BR-ADI,0.004717739554777859
APD-IDXX,0.004720758125300609
AMP-BRO,0.004726681835276673
TRV-AMGN,0.004738502588847266
AZO-DECK,0.004738818472140362
CTVA-VTRS,0.004741842372203398
AON-ROK,0.0047502720162064084
MDLZ-KEYS,0.004751827527971571
FDX-EA,0.004752486266476914
WAT-SCHW,0.004754653603067702
SO-LH,0.004760859997945071
SHW-LHX,0.004764130016194955
APD-SYY,0.004764852397530485
EMR-BKNG,0.004768931032424702
XEL-VRSN,0.004771215465616232
NOC-PNC,0.00477532597305663
AMZN-TDY,0.004788726632164199
MTD-CINF,0.004792872326950977
ITW-CARR,0.00480168820206958
IQV-TMO,0.004805458898324603
HCA-CPRT,0.004806827851211251
MCHP-JKHY,0.004806895642554968
AJG-PTC,0.004808055655324295
STX-WTW,0.004808933186331831
DHI-IT,0.004810320377820095
TPL-DE,0.004811778816724707
DTE-AOS,0.004814961660043041
JNJ-PPG,0.004828965094218042
JNJ-EFX,0.00483264376314166
PG-WAT,0.004838373763606893
ULTA-DGX,0.004841326266961745
PNC-EA,0.004841570424193966
MAR-TPL,0.004844049311883425
QCOM-CB,0.004845057353035041
IR-MLM,0.004850382179134822
PSA-DLTR,0.00485205249949852
STLD-SNPS,0.0048538824897153094
ECL-DLR,0.004859528740633358
EQIX-PNC,0.00486353912496019
COST-RSG,0.00486742797938825
AEP-WAT,0.004869856155235548
ABBV-AMP,0.004870039213178275
TEL-ROK,0.004871174086422729
WDAY-YUM,0.0048789679369274945
TPL-MU,0.004881796992110164
DE-LRCX,0.0048821507834312565
MET-PCAR,0.0048826421161854245
AON-SCHW,0.004886420138632845
AEP-AIZ,0.004889656692532391
FDX-HOLX,0.004898193278450039
MAR-BRO,0.00490951502388727
IEX-AMGN,0.004910330614707288
ODFL-IT,0.004916132105001069
HUBB-TJX,0.004919250383610012
WMT-NFLX,0.004925620383551283
EQIX-DOV,0.004935006596989974
LLY-JBL,0.004939290437865717
SHW-ERIE,0.0049416196773522806
D-VLTO,0.004942024367363837
MMC-LRCX,0.004944564660923661
WAT-GL,0.0049493145738410205
CME-ALLE,0.004949935625625806
JCI-RVTY,0.00495008899717862
JCI-RVTY,0.00495008899717862
WST-TER,0.004950985063861474
ERIE-MU,0.004951661420840583
ED-UHS,0.004957401976528143
WTW-AIZ,0.0049579478914663876
PKG-VRTX,0.004963885668170669
AEP-TTWO,0.00497182595957972
ADSK-ALLE,0.004974685889250424
AJG-BLDR,0.0049862665136994385
SBUX-SRE,0.0049878043196909866
PARA-PANW,0.004991285232224102
TSLA-DUK,0.004995568976504489
LUV-HAS,0.004997977163458234
CTSH-AVB,0.005002975903538024
LDOS-LRCX,0.00500728114931897
ORLY-MPWR,0.0050152363354624965
AAPL-LOW,0.005018433140848329
TT-CEG,0.005028233672411684
APTV-CZR,0.005030859892638928
PG-TTD,0.005031551375468045
CME-FOXA,0.005039163516145786
LHX-CHD,0.005043163234630795
EQIX-BDX,0.005047458597276839
WTW-LDOS,0.005049756876202805
VTR-K,0.005057854988473155
PNC-NEE,0.005058842205816836
ON-STLD,0.005060752166601069
ELV-IEX,0.005064923982065
IFF-INCY,0.0050673328336412185
DOV-CINF,0.005067801745868561
GD-GL,0.005076489901633258
SRE-CDW,0.005077702330108417
NDSN-HON,0.005079947085352596
HD-SHW,0.005083192723663112
HD-AEP,0.005085747032705966
NEE-UNP,0.005086259268793622
ROP-DRI,0.005086650672013753
AXP-CAT,0.005097700147267581
IQV-INVH,0.005101066785415304
AON-WAT,0.0051026537261314436
CSX-ROP,0.005105718450603767
ERIE-TKO,0.005106131986725923
JNJ-MCHP,0.005106203274492575
DUK-ROP,0.005112271491514836
PAYX-VMC,0.005117149909010156
DUK-ULTA,0.005119035891819236
PNC-TTWO,0.005120294185176747
UPS-TGT,0.00512056135964395
CINF-VRTX,0.0051209387101307765
WMT-TT,0.005125380417642545
PH-ORLY,0.005130132031622126
O-DLTR,0.005133823741268848
ROK-EBAY,0.005138570987041302
EFX-SCHW,0.005139304318735677
A-EFX,0.00514318112521052
HD-MNST,0.005151542475241582
OTIS-TSCO,0.005156584120862806
APTV-NKE,0.005159941061325496
PG-ITW,0.005163410306055631
EMR-AMP,0.0051660885875704134
CBOE-ANET,0.00516782797866814
TSLA-STE,0.005174136778268328
ITW-ED,0.005180958803529297
VRSN-CINF,0.0051824498813977295
NVR-DECK,0.005188312473311029
COO-JKHY,0.0051883356737199345
ROL-ADI,0.005189215416173911
XYL-MAS,0.0052046760465630885
PNC-ROP,0.005204824805922187
PWR-WSM,0.0052122335263253255
AWK-PAYC,0.005214553881630197
EQIX-ATO,0.005217685919540389
CMG-QCOM,0.005221004184746696
RSG-WSM,0.005223780025136745
DHI-SYK,0.005228990650829246
ED-JBHT,0.005231583872353673
MCO-VRTX,0.005231799100505249
SBUX-APD,0.005236019554747139
HD-IDXX,0.005240844650643983
GOOGL-DRI,0.005243933316437063
O-KMX,0.005244124723344467
EXR-DPZ,0.005247241312656613
JNJ-KEYS,0.005255281477085081
HLT-WRB,0.005259471046296008
DUK-DPZ,0.005269479077442663
BKNG-TJX,0.005273333260709542
CMS-ALLE,0.005278268543385344
LULU-DHR,0.005279846774454901
CPRT-WTW,0.005282050344436837
USB-PPG,0.0052835588817845515
WM-PAYX,0.005286388992893116
PG-LOW,0.005291871586461692
AIZ-TXN,0.005294450554371041
ICE-ALL,0.005303618656862644
AJG-PGR,0.005307804339054899
RMD-SCHW,0.00531442808122258
HCA-MSI,0.005315453910206185
LYV-ADP,0.005316582898088339
WM-BX,0.005317827252877968
STT-MTB,0.0053205755508720755
ELV-WAT,0.005323572900299136
VRSK-PTC,0.005330662707222768
YUM-EFX,0.005338620558624139
CHD-CDW,0.0053498561593654705
REGN-GPC,0.005350975527499596
CTSH-HSIC,0.005351380058077651
SO-TDG,0.005355728129566899
ADM-HOLX,0.005361030480425148
PNC-EVRG,0.005365335638182931
AON-DRI,0.005366715953232672
KO-NOW,0.005368228104890016
BR-CINF,0.005368469392338827
NEE-HON,0.005376596715163593
EFX-LH,0.005380290902797724
CSGP-TXN,0.005382484249430308
ISRG-SYK,0.0053926329293728
WDAY-XYL,0.005395963157953187
AAPL-AMAT,0.005399514726911478
CME-DGX,0.005400044748928452
PRU-CNP,0.005403939181893154
ERIE-AIZ,0.0054057932196366
STE-NDSN,0.005409137159404887
LLY-CDNS,0.005414148973888217
BR-NVR,0.005420846080797801
APO-MPWR,0.00542563366162567
CLX-MKTX,0.0054264544616327345
EMR-DVA,0.005431156496628084
DOV-VRTX,0.005443313957847024
AFL-ACGL,0.005443347547664437
WTW-SCHW,0.0054448827893315965
DRI-PKG,0.005451169142860649
EFX-ACN,0.005466822265539118
AMZN-ALLE,0.0054687068358409766
PAYX-VRTX,0.005470018117895885
EQIX-JBHT,0.005470603229197262
EFX-TDY,0.005473946534435218
DTE-CHD,0.0054808418489820905
WSM-NWS,0.0054853114638808995
RMD-ACN,0.00549508886975299
ABBV-HCA,0.005495619954803895
JNJ-NSC,0.0055013882343512505
AJG-HLT,0.0055206847770812185
NOC-PAYX,0.005523053270062784
USB-KMX,0.005524129909287298
ED-GPC,0.005529708641623735
ETN-KKR,0.005536334357523218
IT-NVR,0.005538248428622815
NOC-ADP,0.0055417701337102405
PG-WTW,0.005543125524886253
LMT-LNT,0.005544805670133229
WEC-AMGN,0.005548167152351109
NVR-ADP,0.005548655578571003
AJG-KKR,0.005550300567325949
PNC-CHD,0.005555998202889403
RSG-PANW,0.005559910682496181
CPAY-APA,0.005576907728792649
CMG-AMAT,0.005585026539841453
VLO-PEG,0.005591186340789089
NOC-PKG,0.005593115271677671
AIZ-BLK,0.005595394419513354
PH-ERIE,0.005595728066108651
AEP-ATO,0.005599541208870413
MKC-PAYC,0.005604310762885053
NTRS-ATO,0.0056044980815643086
COR-ETN,0.005606741422746178
ODFL-ON,0.005607973336734117
TTD-TXN,0.005609540071052404
ITW-CINF,0.005609669301827368
VICI-WAT,0.0056140376903456345
REGN-PPG,0.005614640623454763
ROP-CINF,0.005615168531349199
WEC-HON,0.005616361597226818
WEC-DPZ,0.005620670853795039
CINF-STE,0.005625675976658837
PEG-BLK,0.005632715318604333
LMT-UNP,0.005636064530672344
JPM-LII,0.005643299113225419
TKO-PGR,0.005643531796268288
TSLA-NDAQ,0.005645153618527852
FDX-COO,0.005646803889300125
DUK-ECL,0.005647240986226803
AON-MPWR,0.005648043205424392
PH-FICO,0.005648679863748382
BRK.B-DHI,0.005650139774534527
SO-DRI,0.005652780857620746
MTB-DGX,0.005654732253082318
SHW-TSCO,0.005656570331429546
GOOG-EMR,0.005656573522948196
FDX-AMGN,0.005668541534133721
EMR-BLK,0.0056696348811146
HCA-TJX,0.005680506782177226
DUK-EQIX,0.0056873146084664645
AFL-NVR,0.0056878627235725605
LMT-YUM,0.0056879974632238475
FDX-EFX,0.005697030992472744
APD-HON,0.005704835414350864
ABBV-PKG,0.005708481047221087
KEYS-NEE,0.005710998455564848
HD-MTD,0.005715107711018623
ECL-LNT,0.005722397966011926
UPS-CRL,0.005724941605473492
BRK.B-DRI,0.0057338836080896155
CSX-MCHP,0.005741201064236823
DUK-TRV,0.005746901509660825
AME-CB,0.005747902396509724
BDX-DLTR,0.005758618340957002
DHI-PTC,0.005764628928165562
USB-ZBH,0.00577405500836193
SPGI-LRCX,0.005779305992001921
HD-A,0.005781620401437
KMB-KMX,0.005783940802844292
TSLA-PAYX,0.005786807849064738
MPWR-WSM,0.00579267287826978
ABBV-VMC,0.005799767454699896
IT-TPL,0.005802205415373517
LHX-SYY,0.005804408996479683
IRM-ETN,0.005806663552594479
XEL-CSGP,0.005823565875240988
ALL-STX,0.005824803695565823
NOC-MAR,0.005827499744718508
PG-JBHT,0.005833258236452837
LYV-BR,0.0058347014805477555
SBUX-AWK,0.005837648227149699
TSLA-LRCX,0.005838954640143304
NVR-TJX,0.0058436277765873835
SYY-AOS,0.005844038194322374
AAPL-HCA,0.005852569388460069
KMX-MKTX,0.005854466530551854
LUV-CAG,0.005858312067069327
PEG-J,0.005861623194676336
FDX-HSIC,0.005865104586619507
EQIX-QCOM,0.0058688518658030625
USB-CMCSA,0.005875288809419419
JPM-ORCL,0.0058774404452517455
PAYX-WRB,0.005881825299441693
ACN-MU,0.005887274819551972
KEYS-UNP,0.005888234871852096
WTW-ALLE,0.0058913748620325074
EFX-NEE,0.005891940970570396
PPG-DLTR,0.0058931231022650455
ROP-NDSN,0.005893659332537264
GOOGL-RJF,0.005894064977356977
MCO-LRCX,0.005897900684818186
PNC-STE,0.005898829588597809
USB-SJM,0.005900494392873335
ADSK-TYL,0.005904345723544822
ADSK-NEE,0.00590744303844328
CDNS-TDG,0.005907472756839919
IDXX-TDY,0.0059162239116796345
EOG-OMC,0.005924335404543018
ITW-MTD,0.00593311652443653
TTWO-WTW,0.005933959010210128
A-DPZ,0.0059361529404070735
CI-ROL,0.005962039244354571
BRK.B-GWW,0.005965067751258915
SQ-KMX,0.005968034290077985
MCHP-EG,0.0059691067759663095
AFL-MPWR,0.005969554593200239
PKG-MU,0.005977756997839914
REGN-QCOM,0.005981108558801531
LMT-DTE,0.005985585432620856
LLY-BLDR,0.00598650360196738
USB-ED,0.005987779274847649
DLR-DTE,0.005990171514813518
DUK-WTW,0.00599303184995895
CTSH-EMN,0.0059930318600560474
GWW-MPWR,0.005994603523537479
PCAR-PANW,0.006008158749344755
EMR-MLM,0.006011288079811426
AJG-APH,0.006015687408885155
WMT-KLAC,0.006017611326679324
FDS-LOW,0.006023929927398926
ULTA-GL,0.006025201601822419
HBAN-HII,0.006029293215523671
DPZ-ACN,0.006035255815689252
WEC-WAT,0.006035818003691047
LMT-PNC,0.006042816549984728
SBUX-EW,0.006043943239954549
ZBH-APTV,0.006052831928123055
VMC-WTW,0.006054791386188787
TEL-PEG,0.006060459522165723
CI-NDSN,0.00606177583339334
SBUX-DPZ,0.006066904641563282
TTWO-CINF,0.006067636626529936
AMT-NEE,0.006076950138568011
DPZ-JKHY,0.006083956080336748
ROP-RMD,0.006099549969818116
APD-TYL,0.006105491046138189
POOL-NEE,0.006108106517337095
HRL-CLX,0.006111088970187425
ADSK-EBAY,0.006111818767412495
CSX-MTD,0.00611288746531403
AON-MLM,0.00611801982462141
EQIX-PSA,0.006118872145079618
PLD-DXCM,0.006126801080117932
AJG-ERIE,0.006130144602956348
CINF-RVTY,0.006130458830156902
CINF-RVTY,0.006130458830156902
EW-TXN,0.00613434735913672
DRI-ADP,0.006136064320836978
TT-ORLY,0.006141315747129105
MPWR-QCOM,0.006143702328437298
EMR-AFL,0.006145631034229482
MAR-COR,0.0061532842332448065
DECK-PANW,0.006160010157716194
BRO-DE,0.0061668627578592644
ABBV-WM,0.006171535213162201
BBY-POOL,0.0061746722613763945
DLR-LNT,0.006176823390093798
TPL-SPGI,0.006178880428051773
PAYX-TSCO,0.006188266986503294
AMZN-LDOS,0.006202315973550765
EXPE-EVRG,0.006204251364975904
CMI-VRSK,0.006205007205003455
MAR-AMGN,0.00621397435888848
CEG-ADSK,0.006214943101203472
ELV-NDSN,0.006216766832275743
WM-DHI,0.006219610194932188
NSC-DTE,0.006231012590143949
WAT-HOLX,0.006242846447224587
NDAQ-DGX,0.006243244996615587
NOC-HON,0.006244671035924022
LIN-NOW,0.006260446734590042
PNC-MNST,0.006263847644336548
TDG-PANW,0.006266837876087876
AMT-APD,0.006267506191173688
MKC-WAT,0.006272204245306326
FDX-UHS,0.0062762953989426405
AAPL-STLD,0.0062872672775177935
CHD-JKHY,0.0062943424778195076
SYY-GL,0.006297907325194164
AMZN-ALL,0.006300858594953565
NSC-KEYS,0.006301224524389785
ROST-LNT,0.0063040713481417165
VMC-CBOE,0.006305250722913294
WM-LDOS,0.006312950962313921
GL-AOS,0.006317032527456044
ELV-FDS,0.0063207754977564895
CI-ROST,0.006331887654969499
USB-CCI,0.006334163258589248
LULU-TMO,0.006335743489253488
AAPL-AJG,0.006344471970007698
WTW-LII,0.006346839434162302
EFX-UNP,0.00634884862482747
LHX-CSGP,0.006355010603935108
SBUX-XEL,0.006361840578270178
ROP-FDS,0.0063620511319634485
BR-CRWD,0.006362925754981123
EQIX-SRE,0.006374169728887348
ED-LH,0.006376839664592639
FAST-DE,0.006381976877058771
EBAY-WTW,0.006386303256143249
TGT-RVTY,0.006389519311605426
TGT-RVTY,0.006389519311605426
APO-WSM,0.006394156589295528
AFL-BKNG,0.006395318501626262
LLY-IR,0.0064040915361766385
EOG-SRE,0.006404669441262901
DUK-XYL,0.0064048746615087354
CCI-TROW,0.006406070242202639
TRV-ED,0.006407604401154424
AFL-BRO,0.006407633183797096
ROP-TYL,0.006409031568648801
HCA-TPL,0.0064092988011998555
AAPL-PTC,0.006411730242538089
ABBV-ADI,0.006417892633899913
CLX-SWKS,0.006421318721801421
ICE-RJF,0.006423280333534445
GOOG-ICE,0.006429455175536463
ADSK-DGX,0.0064371715074648195
NTRS-JKHY,0.006441041889481447
HD-LMT,0.006443238990786163
RMD-LH,0.006443685593884625
EMR-VRTX,0.006449742342144637
ALL-MAS,0.006450253338253115
WTW-TPL,0.006456201716613728
ORLY-AMP,0.006457248149564544
NSC-IDXX,0.006458916133685813
K-GILD,0.006461276023059015
AMZN-WRB,0.006464210940770905
STLD-VRTX,0.0064671439137817446
FICO-MPWR,0.00647120678661644
EMR-BRO,0.006477766717937944
VICI-MTD,0.006483373429519046
COR-STX,0.006484349917122027
AMZN-DPZ,0.0064916907581278405
SJM-LKQ,0.006500119414772553
ALLE-SPGI,0.006501760665374841
CI-GL,0.006513206870433299
O-KMB,0.006520109609730301
TDY-PTC,0.006527275163974136
ES-DLTR,0.0065538285963571905
CZR-CMCSA,0.006559717851550768
VLO-FANG,0.006567435354310977
COR-PNR,0.006578641766865369
DUK-ROK,0.006579528231561822
KDP-STE,0.00659051729924275
XEL-GL,0.006599216905911844
AON-CINF,0.006599274357828159
LULU-POOL,0.00660162089804439
EBAY-TYL,0.00660518044907628
ALGN-NKE,0.006606604145169255
COIN-STX,0.006608177044973435
NUE-BLDR,0.006610404130804876
LH-QCOM,0.0066161239418995816
EBAY-CINF,0.006625674557289188
EFX-SYK,0.006626314729868658
GOOGL-TPL,0.006627481433605156
RMD-WRB,0.006631587152511503
DUK-CINF,0.006631641503163167
PNC-RVTY,0.00663193815055419
PNC-RVTY,0.00663193815055419
OMC-PNW,0.006639821388227273
BRK.B-LYV,0.006642361045285375
ACGL-PANW,0.0066431765411605614
AMZN-TPL,0.0066461573437786884
KDP-JKHY,0.006647770572065655
PG-CARR,0.006650346176810765
TSLA-ABBV,0.0066512384320529545
APD-DTE,0.006653770200346949
QCOM-BLK,0.006661241946864774
SO-ROK,0.006672028720106712
PTC-SYK,0.006675025053138593
NSC-FDS,0.006675686895636236
DLR-GL,0.006677605996530961
DVA-NWSA,0.0066844555106904254
XYL-ADI,0.0066884439820008934
EQIX-J,0.006690207164195033
TT-HLT,0.006695118356117633
SHW-ADI,0.006695881521426462
PNR-WELL,0.0067205400891427736
MAR-ED,0.006741326580087489
WDAY-ROP,0.0067433587023378715
EMR-BX,0.006743594232895203
HD-VRTX,0.006745869983262275
MSFT-HCA,0.0067601187133242814
INVH-DHR,0.006761929765142018
WM-NDAQ,0.006762738037297447
PSA-GIS,0.006763139501178248
WRB-ETN,0.006773484501173833
MCO-PAYX,0.006775578444376114
APD-AIZ,0.006775693376181053
KDP-HOLX,0.006778829968290721
IDXX-WST,0.006783800282167728
IDXX-TER,0.006785664839561338
USB-EMN,0.006790350578793468
BRK.B-TDG,0.00679405559943035
CI-LOW,0.006804738552816046
GD-SNA,0.006807761504206491
KO-CRM,0.006810819006740185
PLD-ZBRA,0.006814629685369299
EA-MAS,0.006818860203520332
VMC-BRO,0.006821175446824596
WST-AVY,0.00683074790842287
AES-ENPH,0.006849081964046182
GOOGL-LOW,0.0068543059633081336
TDG-WRB,0.006864510238246393
CDW-FDS,0.006866574723206241
JNJ-CSX,0.006869814140276492
AIG-C,0.00687036500690148
EXPE-AMGN,0.00687275824704045
AME-YUM,0.0068749494680232824
TTD-UNP,0.006884810918757139
HCA-MAR,0.006885625146096366
TRV-CMI,0.006892020659167939
CEG-NWS,0.006895857675819649
SHW-BR,0.006900173808459554
WM-SPGI,0.006905196659785464
AIZ-QCOM,0.006906523036712396
MMC-DECK,0.006908625456515877
URI-KKR,0.006909416285204561
TRV-ROL,0.006919908770570061
MAR-DRI,0.0069212282987263654
ECL-UHS,0.0069273518705737485
MDLZ-IEX,0.006928807824008131
MA-VRTX,0.006934194806414347
DUK-EFX,0.006936596459297756
PKG-GL,0.006939624624095087
COR-ANET,0.006942472317694073
DVA-CB,0.006957913028933682
DXCM-FDS,0.006964510673442338
ADSK-AEP,0.006965493305961316
AMAT-BX,0.006970065381971916
DUK-AME,0.006972911173149521
IDXX-A,0.006973857841163342
STE-DHR,0.006980905248370123
TROW-MKC,0.00698164569750492
ALL-SPGI,0.006983215265771285
STZ-DLTR,0.007002379735013862
